Occupation,Job_Types,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",Production workers,7,Na,5,Na,2,Na
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",Production workers,0,Na,0,Na,0,Na
Fabric and apparel patternmakers,Production workers,4,Na,3,Na,1,Na
Upholsterers,Production workers,29,Na,21,Na,7,Na
"Textile, apparel, and furnishings workers, all other",Production workers,16,Na,12,Na,4,Na
Cabinetmakers and bench carpenters,Production workers,40,Na,38,Na,2,Na
Furniture finishers,Production workers,6,Na,6,Na,0,Na
"Model makers and patternmakers, wood",Production workers,0,Na,0,Na,0,Na
"Sawing machine setters, operators, and tenders, wood",Production workers,26,Na,22,Na,4,Na
"Woodworking machine setters, operators, and tenders, except sawing",Production workers,23,Na,21,Na,1,Na
"Woodworkers, all other",Production workers,17,Na,14,Na,3,Na
"Power plant operators, distributors, and dispatchers",Production workers,35,Na,34,Na,1,Na
Stationary engineers and boiler operators,Production workers,84,996,81,1012,3,Na
Water and wastewater treatment plant and system operators,Production workers,82,880,79,868,3,Na
Miscellaneous plant and system operators,Production workers,35,Na,33,Na,3,Na
"Chemical processing machine setters, operators, and tenders",Production workers,62,1052,57,1082,5,Na
"Crushing, grinding, polishing, mixing, and blending workers",Production workers,82,652,75,668,7,Na
Cutting workers,Production workers,51,685,41,Na,9,Na
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",Production workers,31,Na,25,Na,6,Na
"Furnace, kiln, oven, drier, and kettle operators and tenders",Production workers,6,Na,5,Na,0,Na
"Inspectors, testers, sorters, samplers, and weighers",Production workers,701,710,440,844,260,583
Jewelers and precious stone and metal workers,Production workers,19,Na,11,Na,7,Na
"Medical, dental, and ophthalmic laboratory technicians",Production workers,86,648,44,Na,42,Na
Packaging and filling machine operators and tenders,Production workers,239,518,118,605,120,482
Painting workers,Production workers,129,708,110,733,18,Na
Photographic process workers and processing machine operators,Production workers,26,Na,12,Na,14,Na
Semiconductor processors,Production workers,1,Na,1,Na,0,Na
Adhesive bonding machine operators and tenders,Production workers,9,Na,5,Na,4,Na
"Cleaning, washing, and metal pickling equipment operators and tenders",Production workers,4,Na,2,Na,1,Na
Cooling and freezing equipment operators and tenders,Production workers,4,Na,3,Na,0,Na
Etchers and engravers,Production workers,12,Na,8,Na,4,Na
"Molders, shapers, and casters, except metal and plastic",Production workers,14,Na,12,Na,2,Na
"Paper goods machine setters, operators, and tenders",Production workers,27,Na,22,Na,5,Na
Tire builders,Production workers,8,Na,8,Na,0,Na
Helpers--production workers,Production workers,24,Na,18,Na,7,Na
"Production workers, all other",Production workers,846,625,643,666,203,501
TRANSPORTATION,Transportation,6953,646,5998,679,955,494
Supervisors of transportation and material moving workers,Transportation,186,894,153,898,33,Na
Aircraft pilots and flight engineers,Transportation,114,1735,104,1830,9,Na
Air traffic controllers and airfield operations specialists,Transportation,32,Na,24,Na,8,Na
Flight attendants,Transportation,63,846,20,Na,43,Na
"Ambulance drivers and attendants, except emergency medical technicians",Transportation,18,Na,14,Na,4,Na
Bus drivers,Transportation,323,615,184,681,138,572
Driver/sales workers and truck drivers,Transportation,2687,747,2582,751,105,632
Taxi drivers and chauffeurs,Transportation,253,585,216,600,38,Na
"Motor vehicle operators, all other",Transportation,21,Na,18,Na,3,Na
Locomotive engineers and operators,Transportation,44,Na,42,Na,2,Na
"Railroad brake, signal, and switch operators",Transportation,5,Na,5,Na,0,Na
Railroad conductors and yardmasters,Transportation,55,1117,52,1137,4,Na
"Subway, streetcar, and other rail transportation workers",Transportation,15,Na,12,Na,3,Na
Sailors and marine oilers,Transportation,10,Na,9,Na,0,Na
Ship and boat captains and operators,Transportation,29,Na,28,Na,1,Na
Ship engineers,Transportation,5,Na,4,Na,1,Na
Bridge and lock tenders,Transportation,4,Na,4,Na,0,Na
Parking lot attendants,Transportation,57,492,49,Na,8,Na
Automotive and watercraft service attendants,Transportation,63,452,58,470,5,Na
Transportation inspectors,Transportation,21,Na,14,Na,7,Na
"Transportation attendants, except flight attendants",Transportation,17,Na,9,Na,8,Na
Other transportation workers,Transportation,39,Na,35,Na,4,Na
Conveyor operators and tenders,Transportation,7,Na,7,Na,0,Na
Crane and tower operators,Transportation,75,988,71,1016,4,Na
"Dredge, excavating, and loading machine operators",Transportation,25,Na,25,Na,0,Na
Hoist and winch operators,Transportation,5,Na,5,Na,0,Na
Industrial truck and tractor operators,Transportation,579,609,541,612,37,Na
Cleaners of vehicles and equipment,Transportation,222,485,200,498,22,Na
"Laborers and freight, stock, and material movers, hand",Transportation,1433,526,1214,547,219,455
Machine feeders and offbearers,Transportation,30,Na,21,Na,9,Na
"Packers and packagers, hand",Transportation,385,438,158,462,227,424
Pumping station operators,Transportation,18,Na,17,Na,1,Na
Refuse and recyclable material collectors,Transportation,72,501,66,496,6,Na
Mine shuttle car operators,Transportation,0,Na,0,Na,0,Na
"Tank car, truck, and ship loaders",Transportation,6,Na,6,Na,0,Na
"Material moving workers, all other",Transportation,37,Na,32,Na,5,Na
